Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOEF;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
95,97;95,79;93,54;97,24;94,11;95,69;95,42;93,33;97,72;91,82;96,96;94,64;98,09;94,67;94,81;96,06;94,22;95,2
96,6;96,62;95,98;97,47;93,84;95,69;95,33;93,7;97,82;93,61;95,82;95,54;97,6;95,46;94,64;96,45;93,57;95,52
92,57;90,06;89,44;95,74;89,87;93,51;92,56;89,83;95,25;89,39;95,58;91,9;95,38;90,92;93,58;95,01;87,41;92,29
90,88;90,1;88,99;96,12;90,33;93,02;93,25;90,48;96,38;92,66;96,15;92,53;95,93;91,52;93,52;95,92;90,29;92,78
86,79;84,48;84,67;93,32;88,26;89,27;88,69;88,32;94,13;89,83;91,06;89,19;92,67;88,76;91,04;91,11;79,92;89,42
90,06;87,79;89,52;94,17;89,6;90,77;90,75;87,27;94,6;88,69;90,9;89,16;93,47;86,98;90,48;93,56;82,42;90,36
