Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOEF;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
4,58;4,45;4,57;4,64;4,51;4,57;4,6;4,49;4,58;4,41;4,56;4,51;4,5;4,52;4,57;4,6;4,43;4,54
4,57;4,45;4,63;4,62;4,46;4,5;4,61;4,49;4,51;4,42;4,57;4,49;4,47;4,52;4,62;4,6;4,48;4,53
4,53;4,41;4,58;4,62;4,46;4,51;4,6;4,45;4,47;4,4;4,53;4,51;4,42;4,51;4,58;4,58;4,41;4,51
4,7;4,58;4,66;4,71;4,66;4,63;4,63;4,61;4,62;4,45;4,66;4,65;4,61;4,52;4,65;4,7;4,59;4,63
