Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOE;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
80,65;88,24;100;79,38;87,35;84,07;80,72;86,63;56,25;96,15;89,47;86,92;57,37;76;80;73,07;96,97;81,16
96,78;100;92,31;75;71,66;78,76;81,92;74,87;81,25;100;78,95;85,98;70,49;84;45;73,08;90,91;77,28
90,32;97,06;94,23;87,51;82,59;77,88;88,56;81,82;86,61;94,23;87,72;88,78;81,15;72;72;92,31;72,72;84,36
93,55;94,12;92,31;68,13;64,78;68,14;54,82;49,2;42,85;92,31;50,88;77,57;53,28;64;44;57,69;42,42;61,58
25,81;55,88;84,61;51,88;40,49;40,7;45,79;33,69;40,18;50;56,14;48,59;44,26;52;44;42,3;60,6;45,32
51,61;73,53;90,39;75;74,09;53,98;56,63;78,61;78,57;44,23;78,95;57,94;57,38;48;57;42,31;48,48;66,32
96,78;91,18;92,31;69,38;67,61;76,1;56,63;55,61;73,22;73,08;40,35;68,23;49,19;52;52;53,85;60,6;64,41
45,16;79,42;80,77;50,63;71,66;69,03;50,6;59,89;66,08;59,61;61,41;64,48;49,18;4;41;53,85;51,51;58,92
51,61;79,42;76,93;54,38;68,83;68,14;50;72,19;66,07;63,47;52,63;43,92;53,28;4;27;61,54;48,48;58,13
25,81;76,47;61,54;41,88;29,15;20,35;45,78;28,88;39,28;46,16;52,63;30,84;27,87;12;24;46,16;30,3;35,22
35,48;76,47;76,92;41,88;64,77;55,75;64,46;59,89;72,32;55,77;64,92;56,07;56,56;8;42;38,46;24,24;56,89
51,61;85,29;84,62;70,63;63,97;52,21;48,19;48,12;76,79;55,77;54,39;51,4;63,11;68;56;65,38;54,54;60,03
41,94;85,3;92,31;51,25;64,37;41,59;51,2;57,75;41,97;61,54;50,87;68,22;45,91;56;19;46,16;27,27;53,08
