Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOE;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
9,93;7,55;6,09;7,39;8,38;13,74;9,2;10,37;15,32;7,55;9,06;11,99;18,21;13,19;12,69;12,14;2,87;10,27
15,75;13,84;13,23;13,23;13,85;21,44;13,98;16,65;24,51;21,83;15,77;17,06;27,5;20,88;12,39;11,08;11,49;16,25
22,6;20,97;16,17;18,83;23,83;27,11;27,7;30,86;40,81;42,58;15,1;31,44;36,08;31,87;26,6;23,22;28,73;27,15
16,78;18,45;11,76;15,42;18,28;30,49;19,14;28,04;33,57;42,31;16,11;25,85;29,21;18,68;27,22;21,11;24,14;23,4
23,97;28,52;8,4;20,37;15,54;23,25;21,9;13,26;32,73;37,73;10,07;29,79;38,49;27,47;30,43;15,83;24,14;22,07
31,17;30,19;14,07;27,27;21,98;25,91;26,41;21,26;40,11;46,1;16,77;37,85;46,39;29,67;38,22;25,86;22,99;28,45
40,07;27,47;27,31;31,66;39,05;38,31;41,49;47,51;53,76;56,61;26,85;44,67;54,64;57,14;38,38;34,57;22,42;40,43
9,25;8,6;5,46;9,91;15,86;26,75;19,78;20,93;28,41;25,88;15,78;22,65;30,24;25,27;24,47;14,25;11,49;18,74
32,87;22,85;17,86;19,32;26,81;34,1;24,93;36,43;37,19;40,7;29,53;37,23;38,14;47,25;32,57;25,07;36,21;30,3
23,63;24,32;17,86;20,54;24,64;36,51;26,77;34,44;40,94;37,2;25,51;34,44;43,99;34,07;31,35;22,16;21,84;29,51
