Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOE;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
90,07;92,46;93,9;92,62;91,63;86,27;90,8;89,63;84,68;92,45;90,94;88,01;81,78;86,81;87,31;87,86;97,12;89,72
84,25;86,16;86,76;86,76;86,15;78,56;86,02;83,36;75,48;78,17;84,22;82,93;72,51;79,12;87,62;88,92;88,51;83,75
77,4;79,04;83,83;81,16;76,17;72,89;72,31;69,15;59,19;57,41;84,9;68,56;63,91;68,13;73,4;76,78;71,27;72,85
83,22;81,55;88,23;84,58;81,72;69,52;80,87;71,96;66,43;57,68;83,9;74,14;70,79;81,31;72,78;78,89;75,86;76,6
51,03;42,98;65,76;72,4;69,4;66,63;61,36;76,38;52,51;47,98;85,58;55,22;52,57;19,78;54,59;74,14;27,59;63,14
40,07;38,57;59,24;63,8;59,18;62,29;55,02;63,25;43,73;38,28;77,19;44,78;43,3;17,58;44,95;61,47;28,16;54,25
59,93;72,54;72,69;68,34;60,95;61,68;58,51;52,49;46,24;43,4;73,15;55,33;45,36;42,86;61,62;65,43;77,59;59,57
90,75;91,4;94,54;90,1;84,13;73,25;80,22;79,07;71,59;74,13;84,22;77,35;69,76;74,72;75,54;85,76;88,51;81,26
67,12;77,15;82,15;80,68;73,19;65,9;75,07;63,57;62,81;59,3;70,47;62,77;61,86;52,75;67,43;74,94;63,79;69,71
76,37;75,68;82,14;79,46;75,37;63,49;73,23;65,55;59,05;62,8;74,49;65,57;56,01;65,93;68,65;77,83;78,16;70,48
