Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOEF;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
4,72;4,73;4,71;4,8;4,76;4,79;4,79;4,72;4,75;4,73;4,86;4,78;4,74;4,75;4,81;4,84;4,7;4,76
4,58;4,74;4,67;4,79;4,67;4,72;4,82;4,69;4,7;4,79;4,81;4,72;4,72;4,73;4,85;4,79;4,74;4,74
4,71;4,63;4,66;4,76;4,69;4,73;4,73;4,65;4,67;4,73;4,75;4,73;4,59;4,73;4,73;4,72;4,64;4,7
4,7;4,69;4,63;4,81;4,8;4,84;4,78;4,75;4,84;4,71;4,86;4,75;4,88;4,71;4,78;4,91;4,74;4,79
