Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOE;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
42,75;15,13;7,98;16,63;12,46;23,8;21,6;12,44;44,43;7,73;8,08;7,74;46,42;53,26;39,73;24,66;12,64;19,99
5,52;1,89;13,86;17,52;18;20,2;17,2;23,33;30,36;7,73;13,8;10,62;24,58;17,39;64,69;20,43;8,04;20,13
5,17;3,57;3,57;8,35;11,34;18,27;9,33;9,29;27,44;5,87;6,4;7,43;21,5;23,91;25,42;17,77;5,75;11,93
7,24;5,88;7,77;14,28;15,76;25,72;35,04;19,93;50,42;7,47;24,58;15,15;43,69;39,13;39,42;21,48;26,44;22,64
44,83;16,17;14,07;23,92;19,7;39,42;28,64;27,11;43,73;20,27;18,51;15,88;43,69;52,18;48,71;36,87;25,29;28,28
36,89;20,17;9,03;32,77;25,4;39,78;26,62;29,1;47,49;55,2;17,5;40,41;63,48;44,56;43,53;49,6;51,72;34,27
6,21;23,11;11,97;20,12;25,88;38,58;42,36;35,13;31,76;42,66;47,14;30,51;48,47;40,21;42,62;42,7;19,54;31,95
30,69;15,12;9,87;32,61;21,87;28,01;25,52;22,18;40,39;50,93;22,22;26,7;39,59;91,3;45,36;23,87;37,93;28,68
26,55;14,07;16,81;31,71;23,64;24,04;28,63;21,03;41,08;61,34;35,02;37,73;33,11;91,31;59,21;26,52;38,5;31,21
44,83;30,04;19,33;48,5;24,2;31,61;25,16;25,52;40,11;38,67;23,9;22,06;46,08;92,39;48,71;35,28;39,66;32,8
58,28;28,57;23,53;34,14;32,08;42,67;45,1;36,53;52,64;46,94;35,35;33,71;58,02;83,69;71,24;52,25;72,99;41,94
