Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOE;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
80,96;81,30;84,62;92,79;76,96;83,07;85,07;79,56;92,53;82,79;87,10;81,16;91,41;85,71;82,43;96,20;70,00;84,91
84,76;76,97;74,36;85,57;77,47;69,30;82,13;76,93;84,62;84,43;74,19;73,92;91,42;80,35;76,69;86,07;57,00;79,62
67,62;67,63;80,35;89,43;75,45;74,94;92,00;76,93;85,75;92,63;90,33;75,37;94,20;89,28;92,23;89,88;83,00;83,39
95,23;82,02;96,58;96,31;92,15;90,29;95,46;95,62;94,57;99,18;98,93;92,03;95,36;92,85;96,62;94,94;97,00;94,40
66,66;75,54;86,32;89,93;83,29;83,75;94,40;84,23;90,27;97,54;96,77;83,69;93,04;89,29;94,26;97,47;95,00;88,08
75,24;66,91;82,91;89,43;82,03;74,94;91,46;82,92;90,49;93,44;96,77;80,80;91,88;96,43;92,57;87,35;80,00;85,66
75,24;69,79;81,20;90,27;82,79;79,69;90,13;83,94;93,89;96,72;96,77;83,33;93,74;92,86;91,21;92,40;78,00;86,99
