Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOE;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
55,17;84,66;91,8;80,7;86,98;75,96;77,95;87,31;55,43;92,26;91,91;92,26;53,25;46,74;59,51;75,06;87,36;79,41
93,79;98,11;85,71;79,97;81,51;79,56;82,44;76,47;69,63;92,26;86,19;89,28;75,43;82,6;34,55;79,31;91,95;79,36
94,14;96,43;96,43;89,21;88,26;81,49;90,3;90,38;72,56;94,14;93,6;92,58;78,5;76,08;74,13;81,96;94,25;87,6
91,38;94,12;92,01;83,05;83,52;74,15;64,32;79,81;49,16;92,54;75,42;84,75;56,31;60,87;59,97;77,72;73,57;76,73
50,35;83,4;85,71;70,81;77,57;58,29;64,32;70,57;53,07;49,06;78,12;81,34;53,59;47,83;49,02;60,74;74,72;67,64
62,07;79,62;90,97;64,08;71,38;53,85;70,81;68,07;51,68;43,74;81,82;58,25;35,49;55,43;54,18;39,26;29,31;62,8
93,1;76,68;88,02;77,13;73,23;59,97;55,81;63,97;67,41;56,54;51,18;68,87;51,53;59,78;56,77;55,43;79,88;66,92
65,17;82,36;88,23;60,67;74,68;69,23;69,62;73,91;57,39;46,67;75,09;71,65;58,02;5,43;51,15;73,74;58,05;67,78
68,28;84,46;81,51;62,53;73,15;73,92;67,06;75,84;56,69;36,53;61,96;59,89;64,85;3,26;36,84;71,89;59,2;65,59
48,28;64,49;77,73;43,23;63,67;56,13;67,61;64,93;56,13;57,33;69,36;73,2;50,17;3,26;40,18;47,74;33,91;58,69
39,31;69,96;76,27;61,39;65,92;55,17;52,89;62,3;46,24;52;61,28;65,36;40,27;14,13;25,41;45,89;27,01;56,08
